,Startup Name,Industry Vertical,SubVertical,InvestmentnType,Amount in USD
377,Fincash,Finance,Fin-Tech,Seed / Angel Funding,150000
306,Mihuru,Finance,Online Platform Providing Micro Loans For Air Travel,Seed / Angel Funding,150000
376,happay,Finance,Expense Management,Seed / Angel Funding,250000
257,OpenTap,Finance,Online Lending Platform,Seed / Angel Funding,450000
238,Nivesh,Finance,Mass Market Mutual Fund Investment Platform,Seed/ Angel Funding,450000
267,Vola,Finance,Micro Lending Platform,Seed/ Angel Funding,500000
1955,Buddy,Finance,Micro Lending Platform for eCommerce purchases,Seed Funding,500000
471,Prest Loans,Finance,Business & SME Loans provider,Seed Funding,570000
314,MyLoanCare,Finance,B2C Online Loans Marketplace,Seed / Angel Funding,978000
1221,GramCover,Finance,Insurance Marketplace for the Rural Sector,Seed Funding,1000000
250,Sqqrl,Finance,App-based investment platform,Seed/ Angel Funding,1000000
180,Finzy,Finance,Online Loan Matchmaking Platform,Seed / Angel Funding,1000000
295,mintifi,Finance,Online Lending Platform,Seed / Angel Funding,2000000
270,Aashiyaan,Finance,Housing Finance For Low-Income Families,Seed/ Angel Funding,2000000
346,Smartcoin,Finance,Micro lending company,Seed / Angel Funding,2000000
484,Fisdom,Finance,Mutual Fund Investment App,Private Equity,3000000
2065,Villgro,Finance,Social Business Incubator & Fund,Private Equity,3500000
378,AyeFinance,Finance,Online Lending,Private Equity,3800000
411,OptaCredit,Finance,Alternative Lending,Private Equity,4000000
294,AyeFinance,Finance,Online Lending Platform,Debt Funding,4600000
395,Lendingkart,Finance,Online Lending,Debt Funding,4700000
1897,Veritas Finance,Finance,Asset Based Lending platform,Private Equity,4700000
118,Samunnati Financial Intermediation & Services Pvt. Ltd,Finance,Non-banking financial company,Debt-Funding,5000000
45,Progcap,Finance,Supply Chain Management,Series A,5000000
198,Kinara Capital,Finance,Lending Platform For Micro and Small Enterprises,Private Equity,5000000
13,InCred,Finance,Non-Banking Financial Company,Debt Funding,5900000
1296,ISFC,Finance,Education Sector Lending,Private Equity,6000000
611,SaveBC,Finance,financial services firm,Private Equity,6000000
416,Aye Finance,Finance,Online Lending,Term Loan,6240000
841,Aye Finance,Finance,Non-Banking Financial Company,Private Equity,8000000
77,Avail Finance,Finance,FinTech,Series A,9000000
225,CoinTribe,Finance,Credit-Based Lending Marketplace For Small And Medium Enterprises,Private Equity,10000000
512,IDG Ventures,Finance,Venture Capitalist,Private Equity,10000000
234,Alpha Capital,Finance,Supplychain Finance,Private Equity,14800000
246,Drip capital,Finance,Trade Finance Firm,Private Equity,15000000
392,EarlySalary,Finance,Online Lending,Private,15700000
1509,NeoGrowth,Finance,SME Lending platform,Private Equity,16000000
215,Black Soil,Finance,Non-Banking Financial Company,Private Equity,17000000
61,RenewBuy,Finance,Auto Insurance,Series B,19000000
464,Spandana Sphoorty,Finance,Micro finance institution providing small ticket unsecured loans to women,Private Equity,19500000
232,AyeFinance,Finance,Online Lending Platform,Private Equity,21500000
307,Capital Float,Finance,Online Lending Platform,Private Equity,22000000
230,Annapurna Finance,Finance,Non-Banking Financial Company,Private Equity,23000000
399,Samunnati,Finance,Agricultural Loan,Private Equity,23500000
404,pi Ventures,Finance,Venture Capital,Private Equity,25000000
204,Ofbusiness,Finance,Online Lending Platform For SME,Private Equity,29000000
573,MSE,Finance,Equity Stock Exchange,Private Equity,32000000
142,InCred Finance,Finance,SME Lending,Private Equity,42000000
98,Kuvera,Finance,Wealth Management,Series A,45000000
414,NeoGrowth Credit,Finance,Digital Lending,Private Equity,47000000
284,Varthana,Finance,Loans and Services To Affordable Private Schools in India,Private Equity,55000000
78,BharatPe,Finance,FinTech,Series B,75000000
364,Lendingkart,Finance,Online Lending Platform,Private Equity,87000000
47,Alteria Capital,Finance,VC Funds,Single Venture,140000000
509,Epiq Capital,Finance,Tech based investor firm,Private Equity,200000000
514,Edelweiss,Finance,Diversified Financial,Private Equity,270000000
188,True North,Finance,Private Equity Firm,Private Equity,600000000
